username,games_completed,via_achievements,via_hltb_only,hours_played,games
"Tucs",3,0,3,266.8,"Cyberpunk 2077 [HLTB]; Horizon Forbidden West Complete Edition [HLTB]; Black Myth: Wukong [HLTB]"
"yannbz",3,1,2,32.4,"Cinderia [HLTB]; Stray [HLTB]; Mouthwashing [100%+HLTB]"
"doubleomurfy",3,1,2,26.1,"Manifold Garden [HLTB]; Neva [100%+HLTB]; Gambonanza [HLTB]"
"yugimax",2,2,0,133.5,"I Am Future: Cozy Apocalypse Survival [100%]; Still Wakes the Deep [100%+HLTB]"
"Griske14",2,0,2,72.3,"Blue Prince [HLTB]; RESIDENT EVIL 7 biohazard Gold Edition [HLTB]"
"BaconChizBurger",2,1,1,57.3,"Tainted Grail: The Fall of Avalon [HLTB]; No Case Should Remain Unsolved [100%+HLTB]"
"PsychoApeMan",2,1,1,44.8,"Mina the Hollower [HLTB]; Parking Garage Rally Circuit [100%+HLTB]"
"Patzl",2,1,1,37.6,"Ni no Kuni Wrath of the White Witch R... [100%]; MIO: Memories in Orbit [HLTB]"
"MikeWithAnI",2,0,2,36.7,"UNCHARTED: Legacy of Thieves Collection [HLTB]; Stray [HLTB]"
"TwixClub",2,1,1,36.5,"NINJA GAIDEN: Master Collection [HLTB]; It Takes Two [100%+HLTB]"
"mourinhos86",2,0,2,32.2,"A YEAR OF SPRINGS [HLTB]; Metal Garden [HLTB]"
"dramainfouracts",2,0,2,13.6,"DreadOut 2 [HLTB]; Wednesdays [HLTB]"
"Cloverleaf",2,2,0,5.3,"Donut County [100%+HLTB]; Unbox the Room [100%+HLTB]"
"Thexder",1,0,1,105.9,"Neva [HLTB]"
"RGVS",1,0,1,80.5,"Rogue: Genesia [HLTB]"
"Alpha2749",1,0,1,63.1,"Marathon [HLTB]"
"MedinaRoscoe",1,0,1,33.9,"Moonlighter 2: The Endless Vault [HLTB]"
"Kirouse",1,1,0,31.8,"MOUSE: P.I. For Hire [100%]"
"DrTenma",1,0,1,30.6,"Like a Dragon: Pirate Yakuza in Hawaii [HLTB]"
"LieEater",1,1,0,19.8,"Wheel World [100%]"
"vot4ol",1,1,0,17.1,"Wigmund [100%]"
"elysium1988",1,0,1,16.2,"Verne: The Shape of Fantasy [HLTB]"
"karm2002",1,0,1,14.5,"Cuphead & The Delicious Last Course [HLTB]"
"LinustheBold",1,0,1,11.9,"Slay the Spire 2 [HLTB]"
"gus09",1,0,1,10.4,"The King is Watching [HLTB]"
"TempR",1,0,1,9.4,"Senua’s Saga: Hellblade II [HLTB]"
"schmoan",1,1,0,8.5,"TR-49 [100%+HLTB]"
"BorjaGRouco",1,1,0,8.4,"Please, Touch The Artwork [100%+HLTB]"
"Shughes91",1,0,1,8.2,"Stray [HLTB]"
"vampiresska",1,1,0,6.6,"Gloomy Eyes [100%+HLTB]"
"Almostn33t",1,1,0,2.8,"Tiny Robots Recharged [100%]"
"Keny88",1,0,1,1.9,"Blue Prince [HLTB]"
"Bainsol",0,0,0,107.3,""
"Ignition365",0,0,0,49.7,""
"Metalhead8489",0,0,0,40.3,""
"Vexterion",0,0,0,36.2,""
"TheGr3atUnknown",0,0,0,35.2,""
"kudomonster",0,0,0,20.3,""
"PoeticKatana",0,0,0,13.9,""
"RePlayBe",0,0,0,13.8,""
"VenomousNyx",0,0,0,10.4,""
"puninup",0,0,0,9.9,""
"DancingVaquinha",0,0,0,9.5,""
"damianea103",0,0,0,9,""
"Gooberdragon",0,0,0,8.2,""
"eeev",0,0,0,8.1,""
"Ivannes",0,0,0,6.6,""
"Foxpile",0,0,0,4.6,""
"SoullessSoup",0,0,0,4.6,""
"LumpyCreature",0,0,0,4.5,""
"Carenard",0,0,0,4.3,""
"Ellendyl",0,0,0,3.6,""
"Mahry",0,0,0,3.2,""
"xXShurraXx",0,0,0,3.1,""
"Carrei",0,0,0,2.1,""
"Patxxv",0,0,0,2.1,""
"ithamore",0,0,0,1.4,""
"Jztr",0,0,0,1.3,""
"Orionid",0,0,0,1.1,""
"jaaydee",0,0,0,1,""
"lext",0,0,0,1,""
"makki",0,0,0,0.7,""
"axlnase",0,0,0,0.4,""
"Grogglz",0,0,0,0.4,""
"SirSage",0,0,0,0.3,""
"a10i",0,0,0,0,""
"aez76",0,0,0,0,""
"akfas",0,0,0,0,""
"Arouet",0,0,0,0,""
"ArxTun",0,0,0,0,""
"Atro",0,0,0,0,""
"atti",0,0,0,0,""
"BanjoBearLV",0,0,0,0,""
"BarbaricGenie",0,0,0,0,""
"Casino0",0,0,0,0,""
"CatzZz",0,0,0,0,""
"Ch1cWolf",0,0,0,0,""
"ConanOLion",0,0,0,0,""
"CosmicDrink",0,0,0,0,""
"CuteEnby",0,0,0,0,""
"DancingXmas",0,0,0,0,""
"Dandellion",0,0,0,0,""
"DanielStoSve",0,0,0,0,""
"decipherer",0,0,0,0,""
"Dobke",0,0,0,0,""
"drbeckett",0,0,0,0,""
"Eindirk",0,0,0,0,""
"Foxmonster",0,0,0,0,""
"GeekDoesStuff",0,0,0,0,""
"Golwar",0,0,0,0,""
"Hawkingmeister",0,0,0,0,""
"herbesdeprovence",0,0,0,0,""
"hermesgreiter",0,0,0,0,""
"HUMoonlight",0,0,0,0,""
"ILoveMyAlice",0,0,0,0,""
"imminiman",0,0,0,0,""
"kecha",0,0,0,0,""
"Koalala",0,0,0,0,""
"Krystie",0,0,0,0,""
"legor2d2",0,0,0,0,""
"LightningCount",0,0,0,0,""
"Lilyhia",0,0,0,0,""
"lockcjwen",0,0,0,0,""
"Lontaz",0,0,0,0,""
"Markox21",0,0,0,0,""
"MarvashMagalli",0,0,0,0,""
"mathisgreat",0,0,0,0,""
"MrOuiOui",0,0,0,0,""
"NateSCC",0,0,0,0,""
"Noodles91",0,0,0,0,""
"OlOAyCT",0,0,0,0,""
"OndrejVasicek",0,0,0,0,""
"Palindrome",0,0,0,0,""
"PauloPiacentini",0,0,0,0,""
"QuinlanLJ",0,0,0,0,""
"quinnix",0,0,0,0,""
"RaitorHaitor",0,0,0,0,""
"Realtione",0,0,0,0,""
"Rinocap",0,0,0,0,""
"Rosayde",0,0,0,0,""
"rufioh",0,0,0,0,""
"Sakakino",0,0,0,0,""
"Serpentus",0,0,0,0,""
"shandyseggs",0,0,0,0,""
"ShroudOfLethe",0,0,0,0,""
"Slenderpoop00",0,0,0,0,""
"snbac",0,0,0,0,""
"Sumnium",0,0,0,0,""
"SunnySideVp",0,0,0,0,""
"TexWilleri",0,0,0,0,""
"thoughtfulhippo",0,0,0,0,""
"Troutroum",0,0,0,0,""
"Tyln",0,0,0,0,""
"UnknownEAK",0,0,0,0,""
"Vin3",0,0,0,0,""
"Vini1",0,0,0,0,""
"VinroyIsViral",0,0,0,0,""
"vlbastos",0,0,0,0,""
"Waxlor",0,0,0,0,""
"webdak",0,0,0,0,""
"xAlienMaster",0,0,0,0,""
"Yukisuna",0,0,0,0,""
"zeus9860",0,0,0,0,""
"zolof",0,0,0,0,""
